trial_id,pt_test_acc,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
281ad2bd,0.9749999755904788,0.974399983882904,0.000599991707574743,195.5955626964569,True,,,1,dc3581bb8a9847668afd6b63755e1cf7,2020-12-14_17-41-14,1607996474,195.5955626964569,57965,lambda4,140.221.79.14,195.5955626964569,0,1,"2_adam_epsilon=0.3962,batch_size=496,dropout=0.69102,epochs=137,learning_rate=0.085736",0.08573567416466657,0.6910208890373252,496,0.396200670482684,137
281ad2be,0.9748533117143732,0.9749000072479248,4.6695533551632806e-05,132.8786449432373,True,,,1,d754045eb4a141acb7eb8744cf005314,2020-12-14_17-40-11,1607996411,132.8786449432373,57970,lambda4,140.221.79.14,132.8786449432373,0,1,"3_adam_epsilon=0.42273,batch_size=549,dropout=0.52075,epochs=96,learning_rate=0.046631",0.04663085835477161,0.5207461115751659,549,0.42273068096178434,96
281ad2bf,0.9407744086705722,0.9440000057220459,0.0032255970514737387,130.99359154701233,True,,,1,4191deae1de24806abbc117ad10b5eb3,2020-12-14_17-42-25,1607996545,130.99359154701233,57995,lambda4,140.221.79.14,130.99359154701233,0,1,"4_adam_epsilon=0.70569,batch_size=821,dropout=0.88443,epochs=91,learning_rate=0.082982",0.08298153231657626,0.8844297229824546,821,0.7056859548127296,91
281ad2c0,0.9599950178103014,0.9617000222206116,0.0017050044103101847,115.88377785682678,True,,,1,0a577591aa07450080ea149fe306e177,2020-12-14_17-42-43,1607996563,115.88377785682678,57994,lambda4,140.221.79.14,115.88377785682678,0,1,"5_adam_epsilon=0.9139,batch_size=466,dropout=0.65105,epochs=76,learning_rate=0.039964",0.03996401160628541,0.651046855304335,466,0.9139006744591729,76
281ad2c1,0.9680658441323501,0.9697999954223633,0.0017341512900131972,69.8404769897461,True,,,1,e134ffc19f414433a123352ef1b3667b,2020-12-14_17-42-26,1607996546,69.8404769897461,57993,lambda4,140.221.79.14,69.8404769897461,0,1,"6_adam_epsilon=0.39897,batch_size=805,dropout=0.45244,epochs=46,learning_rate=0.070703",0.07070267541857936,0.4524350140227182,805,0.3989701513362302,46
281ad2c2,0.9767027080059052,0.9768000245094299,9.731650352473586e-05,208.25194692611694,True,,,1,006a8f3c0bbf4afa9c4e22dba8e73357,2020-12-14_17-45-56,1607996756,208.25194692611694,70767,lambda4,140.221.79.14,208.25194692611694,0,1,"7_adam_epsilon=0.77072,batch_size=502,dropout=0.50671,epochs=146,learning_rate=0.073759",0.07375918635805234,0.5067080848704689,502,0.7707216035441611,146
281ad2c3,0.9622183882671854,0.9606000185012817,0.0016183697659036822,106.02435493469238,True,,,1,ad5cb041cb2646e29b955110042d9977,2020-12-14_17-44-15,1607996655,106.02435493469238,70960,lambda4,140.221.79.14,106.02435493469238,0,1,"8_adam_epsilon=0.73753,batch_size=453,dropout=0.78083,epochs=72,learning_rate=0.096383",0.0963834303011268,0.7808272954324911,453,0.7375307254519325,72
281ad2c4,0.9337045720645359,0.9343000054359436,0.000595433371407661,47.382994174957275,True,,,1,fa0445c9bf5d4a51928cedf3636850df,2020-12-14_17-43-33,1607996613,47.382994174957275,71361,lambda4,140.221.79.14,47.382994174957275,0,1,"9_adam_epsilon=0.99086,batch_size=766,dropout=0.81456,epochs=29,learning_rate=0.085871",0.08587118679184967,0.8145626819967311,766,0.9908606201484135,29
281ad2c5,0.9479603496464816,0.9524999856948853,0.0045396360484036835,109.10487079620361,True,,,1,fcaa5e42812c453bb6bd73d866724102,2020-12-14_17-45-24,1607996724,109.10487079620361,73952,lambda4,140.221.79.14,109.10487079620361,0,1,"10_adam_epsilon=0.91551,batch_size=988,dropout=0.47955,epochs=77,learning_rate=0.038917",0.03891654448272976,0.47955452355747813,988,0.9155113640026568,77
464678da,0.936636581140406,0.9404000043869019,0.0037634232464958117,85.09027624130249,True,,,1,54c6acee9559433c96652514be1073a9,2020-12-14_17-47-24,1607996844,85.09027624130249,78592,lambda4,140.221.79.14,85.09027624130249,0,1,"1_adam_epsilon=0.62835,batch_size=618,dropout=0.87733,epochs=58,learning_rate=0.052906",0.05290576234122834,0.8773306767584382,618,0.6283538597916827,58
